Company,Price,Change
Microsoft Corporation (MSFT),374.20,(+1.23%)
Alphabet Inc. (GOOG),138.28,(+1.39%)
"Amazon.com, Inc. (AMZN)",142.80,(-0.28%)
"Meta Platforms, Inc. (META)",330.33,(-0.72%)
Apple Inc. (AAPL),189.35,(+0.71%)
Intel Corporation (INTC),42.09,(+3.64%)
"Cisco Systems, Inc. (CSCO)",47.04,(-11.70%)
Comcast Corporation (CMCSA),41.96,(-1.35%)
"PepsiCo, Inc. (PEP)",167.26,(+0.01%)
Adobe Inc. (ADBE),601.82,(+1.09%)
"Netflix, Inc. (NFLX)",465.32,(+0.73%)
"PayPal Holdings, Inc. (PYPL)",56.92,(-2.29%)
Costco Wholesale Corporation (COST),583.14,(-2.29%)
NVIDIA Corporation (NVDA),489.20,(+0.07%)
Amgen Inc. (AMGN),270.45,(-0.17%)
Broadcom Inc. (AVGO),953.39,(-2.26%)
Texas Instruments Incorporated (TXN),151.02,(-0.56%)
"Charter Communications, Inc. (CHTR)",409.05,(-2.05%)
